,SEX,AGE,y_true,y_pred
562,2,37,0,0
563,2,30,0,0
564,2,29,0,0
565,1,32,1,0
566,1,49,0,0
567,2,50,0,0
568,1,30,0,0
569,1,27,0,0
570,1,46,0,0
571,1,28,1,0
572,1,34,0,0
573,1,42,0,0
574,1,23,0,0
575,2,44,0,0
576,2,31,1,0
577,1,24,0,0
578,2,35,1,0
579,1,25,0,0
580,1,41,0,0
581,2,31,0,0
582,2,37,0,0
583,2,26,0,0
584,2,28,0,0
585,1,44,0,0
586,2,40,0,0
587,2,45,0,0
588,2,66,0,0
589,2,49,1,0
590,2,33,1,0
591,2,25,0,0
592,2,32,1,0
593,2,32,0,1
594,1,28,0,0
595,1,37,0,0
596,2,46,1,0
597,2,33,1,0
598,1,24,0,0
599,2,24,0,1
600,1,29,0,0
601,1,24,1,0
602,2,36,1,0
603,1,25,1,0
604,2,31,0,0
605,2,46,0,0
606,1,40,0,0
607,1,34,0,0
608,2,35,1,0
609,1,57,0,1
610,1,38,0,0
611,2,39,0,0
612,2,34,0,0
613,1,38,1,0
614,2,32,0,0
615,2,39,0,0
616,1,24,1,1
617,1,25,0,0
618,2,55,0,0
619,2,28,0,0
620,1,27,0,0
621,2,40,0,0
622,1,36,0,0
623,1,33,0,0
624,1,44,0,0
625,1,43,1,0
626,2,40,1,0
627,2,32,0,0
628,1,47,1,0
629,2,45,0,0
630,2,31,0,0
631,2,31,0,0
632,2,59,1,0
633,2,31,0,0
634,1,55,1,1
635,2,30,0,0
636,1,26,0,1
637,2,22,0,0
638,2,25,0,0
639,2,39,0,0
640,1,41,0,0
641,2,39,0,0
642,1,61,0,0
643,2,27,0,0
644,2,30,0,0
645,2,29,0,0
646,1,54,0,0
647,2,27,0,0
648,2,32,0,0
649,1,42,0,0
650,2,31,0,0
651,2,27,0,0
652,2,27,0,0
653,2,50,0,0
654,2,38,0,0
655,1,31,0,0
656,1,34,0,0
657,2,22,1,0
658,2,34,0,0
659,2,31,0,0
660,1,40,0,0
661,2,45,0,0
662,2,25,1,1
663,1,22,0,0
664,1,29,1,0
665,2,23,0,1
666,2,37,0,0
667,1,31,0,0
668,1,23,0,0
669,1,46,0,0
670,2,48,1,0
671,1,53,0,0
672,2,24,0,0
673,1,32,0,0
674,1,23,0,0
675,1,31,0,0
676,2,23,0,0
677,2,38,0,0
678,2,54,0,0
679,2,31,0,0
680,1,48,1,0
681,2,58,0,0
682,1,43,1,1
683,2,24,0,0
684,2,35,0,0
685,2,43,0,0
686,2,28,0,0
687,2,50,0,0
688,2,27,0,0
689,2,25,1,0
690,2,46,0,0
691,2,35,0,0
692,2,30,0,0
693,2,25,1,0
694,2,29,0,0
695,2,37,0,0
696,1,25,0,0
697,1,29,0,0
698,2,50,0,0
699,2,28,0,0
700,1,29,0,1
701,2,21,1,0
702,2,41,1,0
703,2,29,0,0
704,2,47,0,0
705,2,29,1,0
706,2,24,1,0
707,2,30,0,0
708,1,23,1,0
709,1,48,0,0
710,2,39,0,0
711,2,35,0,0
712,2,57,0,0
713,2,24,0,0
714,2,40,0,0
715,1,25,0,0
716,1,34,1,0
717,2,54,0,0
718,2,59,1,1
719,2,29,1,0
720,2,40,0,0
721,2,26,0,0
722,1,27,1,0
723,1,26,1,0
724,2,36,0,0
725,1,53,0,0
726,1,35,0,0
727,1,40,0,0
728,2,27,0,0
729,1,42,0,0
730,2,32,0,0
731,2,36,0,0
732,2,39,0,0
733,1,32,0,0
734,2,29,0,1
735,2,42,1,1
736,2,38,0,0
737,1,44,0,0
738,2,42,1,0
739,1,33,0,0
740,2,35,0,0
741,1,26,1,0
742,2,21,0,0
743,2,23,1,1
744,2,29,0,0
745,2,26,0,0
746,2,22,0,0
747,2,43,0,0
748,1,31,0,0
749,2,41,1,1
750,1,37,1,0
751,1,35,1,0
752,2,34,0,0
753,2,52,0,0
754,1,50,1,1
755,1,26,0,0
756,1,36,0,0
757,1,52,1,1
758,1,26,1,0
759,1,47,0,0
760,2,32,1,0
761,2,38,0,0
762,1,36,0,0
763,2,36,0,0
764,2,36,0,0
765,2,23,0,0
766,2,29,0,0
767,2,30,0,0
768,2,30,0,0
769,2,27,0,0
770,1,50,0,0
771,2,28,0,1
772,2,36,0,1
773,1,58,0,0
774,2,51,0,0
775,1,30,1,0
776,1,41,1,1
777,2,31,0,0
778,2,28,0,0
779,2,26,0,0
780,2,28,0,0
781,2,30,0,0
782,2,27,0,0
783,2,43,0,0
784,2,46,0,0
785,1,38,1,1
786,1,29,0,0
787,1,52,1,0
788,2,33,0,0
789,2,32,1,1
790,2,40,1,0
791,1,24,0,0
792,2,37,0,1
793,2,23,1,0
794,1,37,0,0
795,1,34,0,0
796,1,26,0,0
797,2,27,0,0
798,2,36,1,1
799,2,36,0,0
800,2,26,0,0
801,2,22,1,0
802,1,56,0,0
803,2,27,0,0
804,1,31,0,0
805,1,39,0,0
806,1,44,0,0
807,2,28,0,0
808,1,34,0,0
809,2,41,0,0
810,2,43,0,0
811,2,26,1,0
812,2,32,0,0
813,2,29,0,0
814,2,38,0,0
815,1,39,0,0
816,1,33,0,0
817,2,49,0,0
818,1,38,1,1
819,2,45,0,0
820,2,33,0,0
821,1,51,0,0
822,2,26,0,0
823,1,27,0,0
824,1,33,0,0
825,2,27,0,0
826,1,31,1,1
827,1,30,1,0
828,2,28,0,0
829,1,24,0,0
830,1,40,1,0
831,2,25,0,0
832,2,34,0,0
833,1,32,0,0
834,2,53,0,0
835,2,24,0,0
836,1,45,0,0
837,2,46,1,0
838,1,52,0,0
839,1,39,1,1
840,2,22,0,0
841,1,41,0,0
842,1,48,0,0
843,2,40,0,0
844,1,36,0,0
845,1,25,0,0
846,1,26,1,1
847,1,43,1,0
848,1,42,1,0
849,1,32,0,0
850,1,32,0,0
851,2,38,0,0
852,1,32,1,0
853,2,47,0,0
854,2,35,1,1
855,2,37,0,0
856,2,49,0,0
857,2,38,0,0
858,1,33,0,0
859,2,23,1,0
860,1,31,0,0
861,2,44,0,0
862,1,33,1,0
863,2,23,0,0
864,2,29,0,0
865,1,54,1,0
866,2,24,0,0
867,2,30,0,0
868,2,29,1,1
869,1,24,0,0
870,1,31,1,0
871,1,22,0,0
872,1,27,0,0
873,1,38,0,0
874,2,40,0,0
875,1,37,1,1
876,1,31,1,0
877,2,56,0,0
878,1,31,1,0
879,2,28,0,0
880,2,27,0,0
881,1,26,1,0
882,2,35,0,0
883,1,56,0,0
884,2,38,0,0
885,2,34,0,0
886,2,44,0,0
887,2,24,0,0
888,1,31,0,0
889,1,27,0,0
890,2,33,0,0
891,1,35,0,0
892,1,27,1,1
893,1,28,0,0
894,2,53,0,0
895,2,39,1,0
896,2,26,0,0
897,2,29,0,0
898,1,28,0,0
899,1,33,1,0
900,2,40,0,0
901,2,24,0,0
902,2,53,1,0
903,1,35,1,1
904,2,40,0,0
905,1,33,1,1
906,2,50,0,0
907,2,24,1,0
908,2,24,0,0
909,2,34,0,0
910,2,51,0,0
911,2,40,0,0
912,2,46,0,0
913,1,24,1,0
914,1,29,1,0
915,2,34,0,0
916,2,25,0,0
917,1,41,0,0
918,2,28,1,0
919,2,29,1,1
920,1,42,1,0
921,1,51,0,0
922,2,33,0,0
923,2,30,1,1
924,2,29,0,0
925,1,36,0,0
926,2,22,0,0
927,1,28,0,0
928,2,28,0,1
929,2,34,0,0
930,2,23,0,0
931,2,49,1,0
932,2,42,0,0
933,2,34,0,0
934,2,28,0,0
935,1,51,1,0
936,1,32,0,0
937,2,23,0,0
938,2,27,0,0
939,1,30,0,0
940,1,27,0,1
941,2,47,0,0
942,1,39,0,0
943,2,41,0,0
944,1,29,0,0
945,2,33,0,0
946,1,49,0,0
947,1,38,0,0
948,2,24,0,0
949,1,25,0,0
950,2,29,0,0
951,1,24,0,0
952,2,47,0,0
953,2,33,1,0
954,2,22,1,1
955,1,29,0,0
956,2,29,0,0
957,1,43,0,0
958,2,32,0,0
959,1,42,0,0
960,1,43,0,0
961,2,25,0,0
962,2,40,0,0
963,1,41,1,0
964,2,47,0,0
965,1,27,0,0
966,1,27,1,0
967,2,41,0,0
968,2,25,0,0
969,2,26,0,0
970,2,31,0,0
971,2,39,1,0
972,1,35,0,0
973,2,37,0,0
974,2,51,0,0
975,1,33,1,1
976,2,26,1,0
977,2,22,1,1
978,2,24,0,0
979,2,52,1,0
980,2,39,0,1
981,2,28,0,1
982,2,31,0,0
983,1,38,0,0
984,1,46,0,0
985,1,35,1,0
986,2,44,0,0
987,1,23,1,0
988,2,25,0,0
989,1,46,0,0
990,2,28,0,0
991,1,33,1,0
992,2,41,0,0
993,2,43,0,0
994,1,33,0,0
995,1,30,0,0
996,1,40,0,1
997,2,39,1,1
998,1,30,0,0
999,1,37,1,0
1000,1,26,0,0
1001,1,42,0,1
1002,1,42,0,0
1003,1,40,1,0
1004,2,28,1,0
1005,2,35,0,0
1006,2,26,0,0
1007,2,34,0,0
1008,1,34,0,0
1009,1,30,0,0
1010,2,23,0,0
1011,1,27,0,0
1012,2,24,0,0
1013,2,23,0,0
1014,2,36,0,1
1015,1,55,0,0
1016,1,37,0,0
1017,2,30,1,0
1018,1,30,0,0
1019,2,33,0,0
1020,1,35,0,0
1021,2,30,0,0
1022,2,54,1,1
1023,2,43,0,0
1024,1,23,1,1
1025,2,29,0,0
1026,2,28,0,0
1027,1,23,0,0
1028,1,43,0,0
1029,2,35,0,0
1030,2,37,1,0
1031,2,42,1,1
1032,1,30,0,0
1033,2,48,0,0
1034,2,26,0,0
1035,1,44,0,0
1036,1,27,0,0
1037,1,52,0,0
1038,1,46,1,1
1039,1,30,0,0
1040,2,27,0,0
1041,1,41,0,0
1042,2,29,0,0
1043,2,33,1,0
1044,2,48,0,0
1045,2,52,0,1
1046,1,32,1,1
1047,2,24,0,0
1048,1,49,1,0
1049,1,39,0,0
1050,2,54,0,0
1051,1,31,1,0
1052,2,23,0,0
1053,1,39,0,0
1054,2,43,0,0
1055,2,27,0,0
1056,2,29,0,0
1057,2,33,0,0
1058,2,48,1,1
1059,2,59,0,0
1060,2,27,0,0
1061,2,27,1,0
1062,1,45,0,0
1063,2,23,0,0
1064,2,26,0,0
1065,1,24,0,1
1066,2,52,0,0
1067,2,29,0,0
1068,2,31,0,0
1069,1,32,1,0
1070,2,33,0,0
1071,2,30,0,0
1072,2,40,0,0
1073,1,39,0,0
1074,2,34,1,0
1075,1,61,0,0
1076,1,26,0,0
1077,2,69,0,0
1078,1,24,0,0
1079,2,23,0,1
1080,2,22,0,0
1081,2,39,0,0
1082,2,26,0,0
1083,1,39,1,0
1084,1,51,0,0
1085,2,22,1,0
1086,1,22,0,0
1087,1,30,0,0
1088,2,39,0,0
1089,2,60,1,0
1090,1,37,1,0
1091,1,36,0,1
1092,2,25,1,0
1093,2,50,1,1
1094,2,26,0,1
1095,2,33,0,0
1096,2,54,0,0
1097,1,41,0,0
1098,1,34,0,0
1099,2,27,0,0
1100,1,25,1,0
1101,1,31,0,0
1102,2,41,0,0
1103,1,24,0,0
1104,2,39,0,0
1105,2,44,0,0
1106,2,49,0,0
1107,1,32,0,0
1108,2,31,0,0
1109,1,35,0,0
1110,2,38,0,0
1111,2,36,0,0
1112,1,41,0,0
1113,1,32,0,1
1114,1,34,0,0
1115,2,25,0,0
1116,2,36,0,0
1117,2,52,0,0
1118,2,22,0,0
1119,1,34,0,0
1120,1,41,0,0
1121,2,45,0,0
1122,1,54,0,0
1123,1,41,0,0
1124,2,26,0,0
1125,2,39,0,0
1126,2,53,0,0
1127,2,49,0,0
1128,1,62,0,0
1129,2,26,0,0
1130,1,29,0,0
1131,1,27,1,1
1132,1,51,0,0
1133,1,34,0,0
1134,2,42,0,0
1135,2,40,0,0
1136,2,25,0,0
1137,2,30,0,0
1138,2,34,0,0
1139,2,23,0,0
1140,2,27,0,0
1141,1,33,0,0
1142,2,48,0,0
1143,2,35,0,0
1144,2,28,0,0
1145,1,32,0,0
1146,2,49,0,0
1147,1,53,0,0
1148,1,30,0,1
1149,1,26,0,0
1150,1,32,0,0
1151,1,29,0,0
1152,1,48,1,0
1153,2,59,1,0
1154,1,36,1,0
1155,2,26,0,0
1156,1,35,1,0
1157,2,40,0,0
1158,1,40,0,0
1159,2,29,1,1
1160,1,33,0,0
1161,2,26,0,0
1162,1,31,0,0
1163,2,29,0,0
1164,2,23,0,0
1165,1,27,0,0
1166,1,36,0,0
1167,2,27,0,0
1168,1,27,0,0
1169,2,29,1,0
1170,2,35,0,0
1171,1,22,1,0
1172,2,30,0,0
1173,1,43,1,1
1174,1,24,1,1
1175,1,36,0,0
1176,2,27,0,0
1177,2,43,0,0
1178,2,37,0,0
1179,2,43,0,0
1180,2,42,0,0
1181,1,28,0,0
1182,1,37,0,0
1183,1,45,1,0
1184,1,54,0,0
1185,2,51,0,0
1186,2,27,0,0
1187,2,42,0,0
1188,1,57,0,0
1189,2,50,0,0
1190,1,52,0,0
1191,1,41,0,0
1192,2,28,1,1
1193,2,29,0,0
1194,1,30,0,0
1195,1,40,0,0
1196,2,25,0,0
1197,2,25,0,0
1198,1,25,1,0
1199,2,29,0,0
1200,2,46,0,0
1201,2,40,0,0
1202,1,35,1,0
1203,2,31,0,0
1204,1,35,0,0
1205,2,40,1,0
1206,2,26,0,0
1207,1,33,0,0
1208,2,34,0,0
1209,1,50,1,1
1210,1,25,0,0
1211,1,41,0,0
1212,2,37,0,0
1213,2,28,1,0
1214,1,32,0,0
1215,1,50,0,0
1216,2,27,0,0
1217,2,38,0,0
1218,1,43,0,0
1219,2,35,0,0
1220,1,36,0,0
1221,1,25,1,0
1222,1,37,1,0
1223,1,22,0,0
1224,2,27,0,0
1225,2,35,0,0
1226,2,40,1,1
1227,2,28,0,0
1228,2,46,1,0
1229,2,37,0,0
1230,1,53,0,0
1231,2,36,1,0
1232,1,25,0,0
1233,1,26,0,0
1234,2,23,0,0
1235,1,28,0,0
1236,2,27,0,0
1237,2,54,1,0
1238,2,32,0,0
1239,2,30,1,1
1240,1,35,0,0
1241,1,46,0,0
1242,1,36,0,0
1243,2,22,0,0
1244,2,26,0,0
1245,1,36,0,0
1246,1,31,0,0
1247,1,32,0,0
1248,2,32,0,0
1249,2,38,0,0
1250,2,24,0,0
1251,2,41,1,0
1252,1,27,0,0
1253,2,30,0,0
1254,1,28,0,0
1255,2,49,0,0
1256,2,53,0,0
1257,2,28,0,0
1258,1,22,1,0
1259,1,32,1,0
1260,1,31,0,0
1261,2,30,0,0
1262,2,33,0,0
1263,1,26,0,0
1264,2,37,0,0
1265,2,36,1,1
1266,2,46,0,0
1267,2,45,0,0
1268,2,23,0,0
1269,2,29,0,1
1270,2,59,0,0
1271,1,35,0,0
1272,2,30,0,0
1273,2,31,1,0
1274,2,41,0,0
1275,2,37,0,0
1276,2,40,0,0
1277,2,37,0,0
1278,2,32,0,0
1279,1,37,0,0
1280,2,33,0,0
1281,2,32,0,0
1282,2,37,0,0
1283,1,36,1,0
1284,2,39,0,0
1285,2,39,0,0
1286,2,23,0,0
1287,2,24,0,0
1288,2,26,0,0
1289,2,30,0,0
1290,2,27,0,0
1291,2,27,1,1
1292,1,36,1,0
1293,1,26,0,0
1294,2,25,0,0
1295,2,41,0,0
1296,2,33,0,0
1297,2,28,0,0
1298,2,33,0,0
1299,2,36,1,0
1300,2,31,0,0
1301,1,42,0,0
1302,1,42,0,0
1303,2,34,0,0
1304,2,28,0,0
1305,2,24,1,1
1306,2,29,0,0
1307,1,36,1,0
1308,2,34,1,0
1309,2,38,0,0
1310,1,23,0,0
1311,2,22,1,0
1312,1,56,0,0
1313,1,31,1,0
1314,2,37,0,0
1315,1,40,0,0
1316,2,33,1,0
1317,1,26,0,0
1318,2,53,1,0
1319,1,34,0,0
1320,2,27,1,1
1321,2,27,1,1
1322,2,32,0,0
1323,2,30,0,0
1324,2,24,1,1
1325,1,46,0,0
1326,2,33,1,0
1327,1,35,0,0
1328,2,24,0,0
1329,2,48,0,0
1330,2,33,1,0
1331,2,22,0,0
1332,1,46,1,0
1333,1,54,0,0
1334,2,26,0,0
1335,2,29,0,0
1336,2,25,0,0
1337,2,33,0,0
1338,2,54,0,0
1339,2,31,0,0
1340,1,36,1,0
1341,2,26,0,0
1342,2,34,1,0
1343,2,32,0,0
1344,1,30,0,0
1345,2,40,1,1
1346,2,56,1,1
1347,2,38,0,0
1348,2,32,0,0
1349,2,45,0,0
1350,1,38,0,0
1351,2,38,1,0
1352,2,40,0,0
1353,2,52,0,0
1354,1,26,0,0
1355,1,36,0,0
1356,1,36,0,0
1357,1,30,0,0
1358,2,26,1,0
1359,2,26,0,0
